author,authorId
Suzanne Collins,f60842d3-be8c-45d7-89cd-3efd7d14872b
J.K. Rowling,15b85a59-0288-47c7-a6ff-8e4ebd29a042
 Mary GrandPré,f506529e-653b-4d10-bcc2-08233e31fd18
Stephenie Meyer,38b2850c-37fd-44d8-b0f7-b18cc0233195
Harper Lee,d11963c4-d7e2-4396-a8d9-9938ba08222c
F. Scott Fitzgerald,f418b2f3-d1bb-4b9b-9d61-7307ef9288c7
John Green,0694ae11-926d-4131-ba16-b119a683bfc3
J.R.R. Tolkien,7949d636-e56b-4026-882a-3bd6297af495
J.D. Salinger,73ffa150-96b1-4443-b838-ae2d52515570
Dan Brown,2d7b734c-6b9b-48f8-bd1e-f7caeb139612
Jane Austen,508b9894-ad5e-4eed-a96b-5d0a3a7d6e83
Khaled Hosseini,af88abf2-3514-4910-a8b6-ce88b2ecdd0c
Veronica Roth,32a54111-fe07-42e2-a105-590ce964bb75
George Orwell,a45961e8-56cb-4610-9911-b36348653bd2
 Erich Fromm,d5573560-71f4-4252-83a7-1609b8e32d02
 Celâl Üster,d6f04730-9d44-434f-bfe1-9cef03224008
Anne Frank,cd98d509-5891-4e7b-9945-7125f938bc4b
 Eleanor Roosevelt,739e1388-01c5-4799-ad42-ff1ff0407298
 B.M. Mooyaart-Doubleday,a3dd8c74-38b4-4bd4-a24f-11559037069f
Stieg Larsson,dbb1add9-9619-4f04-8c06-779bca3bf485
 Reg Keeland,d929b70d-18e8-48da-beaf-bb63e5a348bf
 Rufus Beck,b43e5081-4b33-4633-b9a2-118888010dd3
Alice Sebold,47350397-effe-458d-a342-987676bc361c
William Golding,9e24b6e6-0557-4835-82a2-9db78ada005f
William Shakespeare,b7690e29-5dac-4d96-8d1f-5420be7033d3
 Robert           Jackson,603dd79d-17c8-4cf0-85cb-ddf337a8c223
Gillian Flynn,4dfbb930-2061-4e1f-983a-c68e7d88275f
Kathryn Stockett,f9780d56-86ca-4292-b30f-b3c8d6591b5c
John Steinbeck,7f5592b7-96c3-44f8-a017-c50b295c744c
Arthur Golden,ca9c9ab6-540e-467d-8fcd-971a8e9fc815
E.L. James,83f0c26c-526d-4a38-aa17-f295429ebda5
Paulo Coelho,348bb222-dc26-42ab-888d-eb943eb7d1fb
 Alan R. Clarke,f0189c43-7a46-42a8-9542-115be6e5a4b1
Lois Lowry,a87b6f45-925f-4362-87cb-37a08a51adf7
C.S. Lewis,e3a143a4-d4a8-4147-8b58-51024dcc1907
Audrey Niffenegger,71434043-f041-49a8-abb8-e316109373b9
George R.R. Martin,72e3b7a1-a2f3-4fd4-88dc-d95903f3d22d
Elizabeth Gilbert,92531d93-5895-409e-90cf-26058647d801
Rick Riordan,c95c21d1-b67c-4477-9e47-5b683d54e69d
Louisa May Alcott,67e406dc-fda0-49f7-9296-c20e4f858027
Charlotte Brontë,1db20435-7559-44ba-9424-e39f036746d5
 Michael Mason,e187f99e-7a0b-4403-91f7-e34921db602e
Nicholas Sparks,165409fc-920b-4e73-b17b-137074f6f0fe
Yann Martel,120526fc-ac56-4af2-97ff-ae8a00f9b9c9
Sara Gruen,99fb6c1a-9586-4e4e-9610-12534b9e452a
Markus Zusak,0047f8ed-70ca-4309-a1cc-ec103a716e20
Ray Bradbury,64dbdf20-39be-4965-8c4e-28cc2a22f0bd
Shel Silverstein,0541eb4e-3802-484b-944f-98f34af9ac5d
Cassandra Clare,3b0649e0-34fd-4f12-9523-a1607116c665
Christopher Paolini,aa7f2643-98d4-4abb-bf69-2807046e9d21
Douglas Adams,c98b15b3-734f-4842-8d9f-47e35d3c7595
Aldous Huxley,61ade9c3-4d25-4dd8-8a09-4099ba078e11
Sue Monk Kidd,a0a734bb-64b6-474e-bfd8-2f0569dfcc32
Mark Twain,9482846d-d09f-46bf-9cb9-d474893a9a16
 John Seelye,a1d8d05e-d6a0-4146-8090-c0ceec0b6d5f
 Guy Cardwell,bca20986-0153-48a3-aab6-0e2d3a5d3b6b
E.B. White,ab126960-51c5-4866-8218-d8cbffe0e149
